subset,blocco,label,rmse_cv_mean,rmse_cv_std,rmse_all_cycles,r2_all_cycles,rmse_last_cycle,r2_last_cycle,rmse_last_cycle_raw,rango_cv,rango_verifica_tutti,rango_verifica_ultimo
FD001,Metodi a margine e reti,Percettrone multistrato,16.58077738090125,1.3955022929293248,15.5175132884157,0.6834219708048828,16.723307269143323,0.8258455283401763,17.975418545134602,1,1,3
FD001,Famiglia ad albero,Foresta casuale,16.594991086206722,1.461714726052238,15.64432279809138,0.6782266618258435,16.805512407477696,0.824129171754278,18.020372843213973,2,2,4
FD001,Famiglia ad albero,XGBoost,16.7011412302653,1.3612447451958138,15.657256126403809,0.6776944398880005,16.57720184326172,0.8288753032684326,17.819034576416016,3,4,2
FD001,Famiglia ad albero,Gradient boosting,16.708522143352873,1.3658039806718254,15.6548496535433,0.6777934821881676,16.51517209778841,0.8301535404262376,17.766223036523396,4,3,1
FD001,Famiglia ad albero,Bagging di alberi,16.894466678780198,1.4352071290546051,15.867545067313086,0.6689786540829175,16.9492442833826,0.8211079794704247,18.128903674641897,5,6,5
FD001,Metodi a margine e reti,"SVR, kernel radiale",16.960917655434557,1.4108012886289485,15.711605803253876,0.6754529485393842,17.119072961693124,0.8175050811677971,18.252975826209894,6,5,6
FD001,Famiglia ad albero,AdaBoost,16.9663998213527,1.265215531828192,16.549519943384166,0.6399131013178765,17.18367973027808,0.8161250233454692,18.58531686483644,7,9,8
FD001,Superamento della linearita',Modello additivo generalizzato,17.462329226156385,1.2061915781068864,16.406196775399426,0.6461229880599684,17.151682276321846,0.8168091670652199,18.33128937490758,8,7,7
FD001,Superamento della linearita',Regression spline,17.46799754536286,1.1858140431113977,16.506080909697374,0.6418009263074751,17.506902493714662,0.8091426379047881,18.63916101607376,9,8,10
FD001,Superamento della linearita',Step functions,17.69189272386789,1.2043195525056984,16.564133287387836,0.6392769019641844,17.229105359880624,0.8151515791297431,18.374592354332535,10,10,9
FD001,Superamento della linearita',Regressione polinomiale,17.7518080339106,1.2810430151488077,17.46235962232132,0.5990941670763867,18.48362962481074,0.7872523330180222,19.756629836325914,11,12,11
FD001,Famiglia ad albero,Albero di regressione potato,18.480329760564977,1.2678146850781482,16.969192679589394,0.6214189415259912,18.668840906524984,0.7829673862923681,19.793843919425864,12,11,12
FD001,Metodi a margine e reti,"SVR, kernel lineare",20.32026803269804,1.1151073566881924,19.18574032773741,0.5160576339072744,21.23772678223723,0.7191293560166349,22.37489497091125,13,21,13
FD001,Modelli lineari,Ridge,20.326974161087016,1.137096777203085,19.111289697457895,0.5198062416097311,21.35278358378528,0.7160778415554396,22.477091333747587,14,18,15
FD001,Modelli lineari,Elastic Net,20.32903388417386,1.1254295529714604,19.148635234129127,0.5179277064083733,21.306266205201315,0.7173135519543775,22.44003414707856,15,20,14
FD001,Modelli lineari,Backward stepwise selection,20.34498991206653,1.1832488422931158,19.067165155646435,0.5220210444699741,21.426569734703605,0.7141122224616188,22.53377699419033,16,15,17
FD001,Modelli lineari,Forward stepwise selection,20.34498991206653,1.1832488422931215,19.067165155646453,0.5220210444699733,21.426569734703563,0.7141122224616199,22.53377699419028,16,17,16
FD001,Modelli lineari,Best subset selection,20.34498991206653,1.1832488422931158,19.067165155646435,0.5220210444699741,21.426569734703605,0.7141122224616188,22.53377699419033,16,15,17
FD001,Modelli lineari,Lasso,20.345049998924,1.1816125509291058,19.065935105263716,0.5220827127072827,21.45133732327166,0.7134509086479502,22.558212330675907,19,13,20
FD001,Modelli lineari,Regressione lineare multipla,20.34521944370695,1.183344430224618,19.066355042990637,0.5220616596922178,21.447966808302173,0.7135409489201122,22.554390413319755,20,14,19
FD001,Modelli lineari,Regressione sulle componenti principali,20.35345029223353,1.1733087341853516,19.131249354653416,0.5188026978468036,21.483063514353866,0.7126026786383297,22.64554837915466,21,19,21
FD001,Metodi a margine e reti,"SVR, kernel polinomiale",23.354282037551588,0.9261220489161724,20.262097611236452,0.4602342475009768,23.27198196962347,0.6627460579440831,24.504547367674288,22,22,22
FD001,Baseline,Regressione sul solo numero di ciclo,27.87823796074896,2.466999459821219,23.68621202482909,0.2623883894420147,32.254092685411244,0.3521716486826596,33.34150977227808,23,23,23
FD001,Baseline,Predizione costante,41.69369866169996,0.135296042154274,35.33559616418475,-0.641577402225272,41.94179565195834,-0.0954292446360807,43.06703554245684,24,24,24
FD003,Metodi a margine e reti,Percettrone multistrato,14.042110172887716,1.056928682431698,12.651729920762897,0.7405192401614504,16.010666066647246,0.8328915456281052,17.517280622938987,1,1,1
FD003,Famiglia ad albero,XGBoost,14.55752607981364,1.1083137809757015,12.922056198120115,0.7293123006820679,16.255783081054688,0.8277356624603271,17.761964797973633,2,4,3
FD003,Famiglia ad albero,Gradient boosting,14.578151409731197,1.136059295825964,12.899143436482388,0.7302713489534127,16.105996673838238,0.8308956290126351,17.540938814905484,3,3,2
FD003,Metodi a margine e reti,"SVR, kernel radiale",14.675922928166866,1.36637585230459,12.777482281441776,0.7353353667366227,17.06207005067242,0.810223223933956,18.437758336019467,4,2,4
FD003,Famiglia ad albero,Foresta casuale,14.701185322024946,1.214982078570727,13.167309610790705,0.7189397480109829,17.364617844806492,0.80343323828476,18.788419359426747,5,5,6
FD003,Famiglia ad albero,Bagging di alberi,14.938252520701754,1.1051195655556283,13.413152071391176,0.7083466070750506,17.230530036343435,0.8064572544422066,18.801261447041256,6,6,5
FD003,Famiglia ad albero,AdaBoost,15.520887998725083,1.176271622006909,14.376521617561934,0.6649474097842599,17.707275110004808,0.7955989639637353,19.26036245965998,7,9,9
FD003,Superamento della linearita',Regression spline,15.914276053764754,1.0974651246939109,14.565604642530165,0.656076088424673,17.60797172882925,0.7978851201922199,18.818664055852206,8,11,8
FD003,Superamento della linearita',Modello additivo generalizzato,15.945531144649989,1.0917546856303442,14.539879018049357,0.6572898854889669,17.55525152039325,0.7990936167557924,18.780226133242675,9,10,7
FD003,Superamento della linearita',Step functions,16.095433238118655,1.080293305738448,14.660945870838432,0.6515589475031968,17.900495523874245,0.7911138093890505,19.053156295916818,10,12,11
FD003,Superamento della linearita',Regressione polinomiale,16.43929677031008,1.0199972895779468,14.23816201331187,0.6713654671716494,17.74043436766208,0.7948327102362284,19.224451771177502,11,7,10
FD003,Famiglia ad albero,Albero di regressione potato,16.87085065576091,1.1265305807617,14.32821607913319,0.6671952003608073,18.056682969877883,0.7874527114035481,19.443165300691177,12,8,12
FD003,Metodi a margine e reti,"SVR, kernel lineare",19.826376866261008,1.5184211207915954,18.380014107388607,0.4523576605229121,21.855277397025297,0.6886188850009461,22.962140230945092,13,21,21
FD003,Modelli lineari,Forward stepwise selection,19.84859550183314,1.448683217770911,17.969420955281237,0.4765520520129702,21.266553519410586,0.7051685217549077,22.38184000367917,14,15,13
FD003,Modelli lineari,Backward stepwise selection,19.848595501833145,1.448683217770914,17.96942095528125,0.4765520520129693,21.266553519410586,0.7051685217549076,22.38184000367916,15,16,13
FD003,Modelli lineari,Best subset selection,19.848595501833145,1.448683217770914,17.96942095528125,0.4765520520129693,21.266553519410586,0.7051685217549076,22.38184000367916,15,16,13
