label,config,n_nonzero,rmse_mean,rmse_std,divario_in_dispersioni,mae_mean,r2_mean
XGBoost,"learning_rate=0.05, max_depth=5, n_estimators=300",19.0,14.55752607981364,1.1083137809757015,0.0,9.350061575571695,0.8708310604095459
Gradient boosting,"learning_rate=0.05, max_depth=5, n_estimators=300",19.0,14.578151409731197,1.136059295825964,0.02,9.35708818566233,0.8704469819791009
Foresta casuale,"max_features=0.33, min_samples_leaf=5",19.0,14.701185322024946,1.214982078570727,0.12,9.452252599450668,0.868071340812078
Bagging di alberi,nessun iperparametro,19.0,14.938252520701754,1.1051195655556283,0.34,9.435337120413628,0.8639504174276198
AdaBoost,"max_depth=6, learning_rate=0.01, n_estimators=800",19.0,15.520887998725083,1.176271622006909,0.84,10.7223990073094,0.8529027690897212
Albero di regressione potato,ccp_alpha=0.3981,14.0,16.87085065576091,1.1265305807617,2.07,10.712741395587138,0.8266319660368704
Regressione sul solo numero di ciclo,baseline,1.0,35.116392875210266,2.6448117304438967,10.14,27.53391431944592,0.2436986988884737
Predizione costante,baseline,0.0,40.72951635327887,0.6507487992345734,28.8,35.548959995243266,-0.0070002087024855
