label,config,n_nonzero,rmse_mean,rmse_std,divario_in_dispersioni,mae_mean,r2_mean
Ridge,alpha=1000,18.0,20.326974161087016,1.137096777203085,0.0,16.525027331997773,0.7611106290280305
Elastic Net,"alpha=0.08685, l1_ratio=0.05",18.0,20.32903388417386,1.1254295529714604,0.0,16.538851537829895,0.7610787489051279
Best subset selection,k=17,17.0,20.34498991206653,1.1832488422931158,0.02,16.497886654947862,0.7606231482138237
Forward stepwise selection,k=17,17.0,20.34498991206653,1.1832488422931215,0.02,16.49788665494786,0.760623148213824
Backward stepwise selection,k=17,17.0,20.34498991206653,1.1832488422931158,0.02,16.497886654947862,0.7606231482138237
Lasso,alpha=0.02812,18.0,20.345049998924,1.1816125509291058,0.02,16.498638094703644,0.7606238692605526
Regressione lineare multipla,nessun iperparametro,18.0,20.34521944370695,1.183344430224618,0.02,16.497743035458054,0.7606176737573129
Regressione sulle componenti principali,n_components=6,18.0,20.35345029223353,1.1733087341853516,0.02,16.51885838707725,0.7604404432720687
Regressione sul solo numero di ciclo,baseline,1.0,27.87823796074896,2.466999459821219,3.93,21.4877355600322,0.5485938927853348
Predizione costante,baseline,0.0,41.69369866169996,0.135296042154274,26.39,36.97767650695546,-0.0021040037904417
