sottoinsieme,modello,fascia,rmse,errore_medio,righe
FD001,Regressione sul solo numero di ciclo,0-25,41.91941902459925,39.43377240077889,199
FD001,Regressione sul solo numero di ciclo,100-125,26.255388387465484,-17.6973178843361,1928
FD001,Regressione sul solo numero di ciclo,"125, censura",22.352625280276587,-12.73513075935829,8041
FD001,Regressione sul solo numero di ciclo,25-50,33.866530465258926,28.80068088012232,654
FD001,Regressione sul solo numero di ciclo,50-75,21.63874868442146,13.079631813084111,963
FD001,Regressione sul solo numero di ciclo,75-100,18.52643090694105,-2.1672647383676584,1311
FD001,Modello additivo generalizzato,0-25,14.555731240809083,7.478686131407035,199
FD001,Modello additivo generalizzato,100-125,16.38041581445564,-6.570219181016597,1928
FD001,Modello additivo generalizzato,"125, censura",13.996443791922994,-6.286398397214277,8041
FD001,Modello additivo generalizzato,25-50,26.202514017393188,19.549957351681957,654
FD001,Modello additivo generalizzato,50-75,23.541387453307006,17.770827789200418,963
FD001,Modello additivo generalizzato,75-100,17.631241383593242,8.20003543020595,1311
FD001,Percettrone multistrato,0-25,11.43525129694677,5.687819460301507,199
FD001,Percettrone multistrato,100-125,16.019730688410352,-5.23329575466805,1928
FD001,Percettrone multistrato,"125, censura",12.668084194328978,-6.851620753637607,8041
FD001,Percettrone multistrato,25-50,23.86424248811511,15.115323876146789,654
FD001,Percettrone multistrato,50-75,23.11929887789942,15.394115587746626,963
FD001,Percettrone multistrato,75-100,18.629991597587807,9.128644562166285,1311
FD001,Foresta casuale,0-25,13.375885869980646,7.9121729693467335,199
FD001,Foresta casuale,100-125,16.120754055980957,-5.792135463174273,1928
FD001,Foresta casuale,"125, censura",13.009501211236563,-7.510365348339759,8041
FD001,Foresta casuale,25-50,24.346079809687943,16.633754911314984,654
FD001,Foresta casuale,50-75,22.682871154272227,15.923283936656283,963
FD001,Foresta casuale,75-100,17.994194048555737,8.804577628527841,1311
FD001,Ridge,0-25,24.243232352935774,19.7284014,199
FD001,Ridge,100-125,18.68176803954711,-9.11118940560166,1928
FD001,Ridge,"125, censura",17.480448791203756,-8.05763960925258,8041
FD001,Ridge,25-50,29.024440627189428,25.043886877675842,654
FD001,Ridge,50-75,24.14937601073847,19.238224314641744,963
FD001,Ridge,75-100,17.9783160934708,7.633472966437834,1311
FD003,Regressione sul solo numero di ciclo,0-25,58.02331055179484,54.06269005524862,181
FD003,Regressione sul solo numero di ciclo,100-125,24.48101494264413,-16.78292185729443,1885
FD003,Regressione sul solo numero di ciclo,"125, censura",25.03202793037964,-19.594524644177127,11472
FD003,Regressione sul solo numero di ciclo,25-50,43.858151671427386,39.52154013356766,569
FD003,Regressione sul solo numero di ciclo,50-75,27.123205018054126,21.51669520703125,1024
FD003,Regressione sul solo numero di ciclo,75-100,17.943960864414073,2.3947234668941975,1465
FD003,Modello additivo generalizzato,0-25,11.244763299046305,3.9322369886187847,181
FD003,Modello additivo generalizzato,100-125,14.710808305662201,-4.68736015066313,1885
FD003,Modello additivo generalizzato,"125, censura",11.386854998875332,-4.526395446391213,11472
FD003,Modello additivo generalizzato,25-50,23.328319485280236,13.665711113708259,569
FD003,Modello additivo generalizzato,50-75,27.015830479935754,19.37284807421875,1024
FD003,Modello additivo generalizzato,75-100,19.07808484442083,9.809241976109215,1465
FD003,Percettrone multistrato,0-25,10.605768517793548,4.908974840883977,181
FD003,Percettrone multistrato,100-125,15.134021690334803,-3.718980015384615,1885
FD003,Percettrone multistrato,"125, censura",8.386430418363911,-4.1383207997733615,11472
FD003,Percettrone multistrato,25-50,19.231149090398308,9.55264271880492,569
FD003,Percettrone multistrato,50-75,24.1016838950966,14.05120759375,1024
FD003,Percettrone multistrato,75-100,20.106231554311996,8.621888889419795,1465
FD003,Foresta casuale,0-25,9.859137086289511,5.429816592265193,181
FD003,Foresta casuale,100-125,15.193827402356446,-3.724222051458886,1885
FD003,Foresta casuale,"125, censura",8.951147901898201,-4.824486857653417,11472
FD003,Foresta casuale,25-50,21.19730677608886,13.266596293497363,569
FD003,Foresta casuale,50-75,25.48077212960105,17.02278424609375,1024
FD003,Foresta casuale,75-100,19.981925760653414,9.186923406825938,1465
FD003,Ridge,0-25,24.357063444299275,17.541261053867405,181
FD003,Ridge,100-125,18.277588103387934,-8.241317713527852,1885
FD003,Ridge,"125, censura",15.866526597119943,-6.820507592834728,11472
FD003,Ridge,25-50,28.77736106882034,22.090008370474518,569
FD003,Ridge,50-75,27.93254961466561,20.73471504394531,1024
FD003,Ridge,75-100,18.771761855880754,7.620832868941979,1465
