sottoinsieme,feature,polynomial,step_functions,spline,gam
FD001,sensor_14,0.05031134260088026,0.19939410734201182,0.09672391532446355,0.21204493595811555
FD001,sensor_09,0.05490181959408883,0.06288095135708385,0.12082320824674128,0.15602346831804528
FD001,cycle,0.14974719830252528,0.09562901644544186,0.04688637374607431,0.1053394881186687
FD001,sensor_13,0.022019986968123142,0.10906559322381919,0.3159497227623637,0.07630480009675647
FD001,sensor_08,0.022840662149584794,0.08498282446452844,0.07335217846169123,0.06692743344117852
FD001,sensor_12,0.026396339396213338,0.07251801072708819,0.03811134774587983,0.06590309035118397
FD001,sensor_11,0.03211326005543889,0.07941038092914801,0.03292605559893313,0.058066287408673055
FD001,sensor_07,0.02170603499497337,0.05649035219241902,0.024267453853724256,0.058061400353454376
FD001,sensor_17,0.00979246969134644,0.01581551127953805,0.07064962311373912,0.033309520529805854
FD001,sensor_04,0.017509395781736853,0.056619721018151416,0.01680481070747899,0.03176716395844521
FD001,sensor_15,0.01486550166122089,0.03561067057041137,0.026775509068051446,0.02488665001747112
FD001,sensor_02,0.012671478224554172,0.03213580853605646,0.029174406422283475,0.021762664935814958
FD001,setting_1,0.001148344607204096,0.017219211390443363,0.03623290604346895,0.021705702007725387
FD001,sensor_03,0.008958481808324906,0.02345464798937686,0.027894376444573828,0.019167913985084613
FD001,sensor_20,0.010100136896737562,0.025501664469039845,0.021913067008121057,0.0173705802822239
FD001,sensor_21,0.013620412981913398,0.024978658178473726,0.010178409712020808,0.016602963583875904
FD001,setting_2,0.0008812274958986925,0.007991583013460797,0.01096228559631304,0.012954901513806337
FD001,sensor_06,0.0008353870862726897,0.000301286873507861,0.00037435014407782846,0.0018010351396707447
FD001,interazione,0.5295805197029624,0.0,0.0,0.0
FD003,sensor_14,0.020624312415826972,0.11235218538165169,0.10587954328597679,0.1590540950533503
FD003,sensor_09,0.02212151286769533,0.09640352502878043,0.1849062833348478,0.15114758152601399
FD003,sensor_06,0.002826341680776103,0.026413788529312834,0.10065047398902378,0.1131380637570933
FD003,sensor_13,0.01816101045597435,0.08417908313599687,0.0873893519349106,0.08688551755683009
FD003,sensor_08,0.017015862037819112,0.08809498627291759,0.1129971011446709,0.07669307788306963
FD003,cycle,0.058716650484079994,0.14469179344977479,0.04385280866206342,0.07634775827294625
FD003,sensor_11,0.014544833064288944,0.10124222096000422,0.06282051970624822,0.05587633702974078
FD003,sensor_15,0.006581575642057934,0.05471537042213007,0.044471125116802984,0.037489174287649016
FD003,sensor_04,0.00956375329010872,0.07062696570626062,0.026081162997756403,0.035528065707980755
FD003,sensor_03,0.004080529289003548,0.03250320435880546,0.03578874995731135,0.030539436138822706
FD003,sensor_12,0.03248767846235822,0.031571050031470656,0.016320485303321683,0.026420256435776456
FD003,sensor_21,0.005865504042099121,0.031650654730978035,0.0319338124637548,0.026237121203689026
FD003,sensor_20,0.006608293944946582,0.030619195516773275,0.019367728869289995,0.02589403527741292
FD003,sensor_07,0.02466359704934512,0.02949431319019029,0.01774740816924313,0.022390503836081058
FD003,setting_1,0.0008057401450395682,0.009133582195688664,0.06575743033861202,0.01781830924408504
FD003,setting_2,0.00039178382303570387,0.010617722032020913,0.005991403804567064,0.01720711632517109
FD003,sensor_17,0.0044871403288111854,0.013046321153176232,0.016283151369399732,0.01667664856158551
FD003,sensor_02,0.004938080627395203,0.030661100132816983,0.019061611141777332,0.0142788732885536
FD003,sensor_10,0.061484067791534196,0.0019829377712503966,0.002699848410422253,0.010378028614148372
FD003,interazione,0.6840317325578044,0.0,0.0,0.0
