sottoinsieme,modello,blocco,riferimento,rmse_mean,rmse_std,differenza_media,differenza_std,differenza_in_dispersioni,fold_peggiori,n_fold,differenza_min,differenza_max
FD001,Percettrone multistrato,Metodi a margine e reti,Percettrone multistrato,16.58077738090125,1.3955022929293248,0.0,0.0,,0,15,0.0,0.0
FD001,Foresta casuale,Famiglia ad albero,Percettrone multistrato,16.594991086206722,1.4617147260522378,0.014213705305474,0.2234551448075354,0.0636087628132996,11,15,-0.4158909964255457,0.2683294147181669
FD001,XGBoost,Famiglia ad albero,Percettrone multistrato,16.7011412302653,1.3612447451958138,0.1203638493640479,0.1881146119502102,0.6398431685673923,12,15,-0.1833267429309195,0.3804118605687172
FD001,Gradient boosting,Famiglia ad albero,Percettrone multistrato,16.708522143352873,1.3658039806718258,0.1277447624516231,0.1831362569742394,0.6975394417370455,12,15,-0.1905440475891886,0.3717732266990552
FD001,Bagging di alberi,Famiglia ad albero,Percettrone multistrato,16.894466678780198,1.4352071290546051,0.3136892978789449,0.2248208853098108,1.3952853955123896,14,15,-0.1340559036567903,0.7539826028741068
FD001,"SVR, kernel radiale",Metodi a margine e reti,Percettrone multistrato,16.960917655434557,1.4108012886289485,0.380140274533303,0.431783518845415,0.8803955175264553,12,15,-0.5025874550454716,1.080485824047246
FD001,AdaBoost,Famiglia ad albero,Percettrone multistrato,16.966399821352695,1.2652155318281924,0.3856224404514446,0.5325940333052929,0.7240457390374079,11,15,-0.4286873299880689,1.149141397939058
FD001,Modello additivo generalizzato,Superamento della linearita',Percettrone multistrato,17.462329226156385,1.2061915781068866,0.8815518452551365,0.4538179661711283,1.9425230179686537,13,15,-0.1020508363536798,1.4997369438390376
FD001,Regression spline,Superamento della linearita',Percettrone multistrato,17.46799754536286,1.185814043111397,0.8872201644616126,0.5416421534155855,1.6380190479393422,13,15,-0.3700664664410915,1.5035973384767427
FD001,Step functions,Superamento della linearita',Percettrone multistrato,17.69189272386789,1.2043195525056984,1.111115342966637,0.4683774719628502,2.372264699901634,15,15,0.1021645438724405,1.613509152932659
