sottoinsieme,blocco,modelli,rmse_minimo,rmse_massimo,ampiezza_interna,dispersione_mediana
FD001,Metodi a margine e reti,4,16.58077738090125,23.354282037551588,6.7735046566503385,1.2553048248087586
FD001,Famiglia ad albero,6,16.594991086206722,18.480329760564977,1.8853386743582554,1.3635243629338196
FD001,Superamento della linearita',4,17.462329226156385,17.7518080339106,0.28947880775421453,1.2052555653062924
FD001,Modelli lineari,8,20.326974161087016,20.35345029223353,0.026476131146512927,1.1824306966111107
FD001,Baseline,2,27.87823796074896,41.69369866169996,13.815460700951,1.3011477509877465
FD003,Metodi a margine e reti,4,14.042110172887716,26.33517002452136,12.293059851633645,1.4423984865480928
FD003,Famiglia ad albero,6,14.55752607981364,16.87085065576091,2.313324575947272,1.131294938293832
FD003,Superamento della linearita',4,15.914276053764754,16.43929677031008,0.5250207165453258,1.0860239956843962
FD003,Modelli lineari,8,19.84859550183314,19.934353229674223,0.08575772784108082,1.4513721911100528
FD003,Baseline,2,35.116392875210266,40.72951635327887,5.6131234780686015,1.647780264839235
