sottoinsieme,modello,configurazioni,punteggi_distinti,rmse_minimo,rmse_massimo,escursione_griglia,configurazioni_entro_un_ciclo
FD001,Albero di regressione potato,27,25,18.36494053076466,41.679003785960525,23.314063255195865,6
FD001,Foresta casuale,15,15,16.426880172492424,16.71249545443945,0.2856152819470239,15
FD001,AdaBoost,100,92,16.852405085309307,29.377702648973173,12.525297563663866,30
FD001,Gradient boosting,36,36,16.483750818670476,24.883608089820367,8.399857271149891,31
FD001,XGBoost,36,36,16.485606956481934,24.899430084228516,8.413823127746582,31
FD003,Albero di regressione potato,27,25,17.059957608908675,40.72468610322031,23.664728494311632,8
FD003,Foresta casuale,15,15,14.923077243553609,15.300851849915858,0.3777746063622498,15
FD003,AdaBoost,100,91,15.787177739117618,27.40482026905292,11.617642529935301,20
FD003,Gradient boosting,36,36,14.831171400932543,24.031796590248188,9.200625189315645,28
FD003,XGBoost,36,36,14.781957244873048,24.037984466552736,9.256027221679688,28
