sottoinsieme,ripetizioni,minimo,massimo,escursione,dispersione
FD001,20,17.282993287627356,23.052078079230476,5.76908479160312,1.4962687450654926
FD003,20,17.840196005920966,21.929436453291743,4.089240447370777,1.1277634004546762
