label,config,n_nonzero,rmse_mean,rmse_std,divario_in_dispersioni,mae_mean,r2_mean
Percettrone multistrato,"hidden_layer_sizes=(16,), learning_rate_init=0.001, max_iter=1000",,16.58077738090125,1.3955022929293248,0.0,11.576622787907946,0.8404406501401102
"SVR, kernel radiale","C=100, epsilon=8, gamma=0.015",,16.960917655434557,1.4108012886289485,0.27,12.299140981290172,0.8330982342309164
"SVR, kernel lineare","C=0.01, epsilon=16",18.0,20.32026803269804,1.1151073566881924,2.96,16.563191972225173,0.7613071587852842
"SVR, kernel polinomiale","C=10, epsilon=16, gamma=0.06",,23.354282037551588,0.9261220489161724,5.72,19.050875746629497,0.6851106813443372
Regressione sul solo numero di ciclo,baseline,1.0,27.87823796074896,2.466999459821219,5.64,21.4877355600322,0.5485938927853348
Predizione costante,baseline,0.0,41.69369866169996,0.135296042154274,25.33,36.97767650695546,-0.0021040037904417
