sottoinsieme,modello,configurazioni,rmse_minimo,rmse_massimo,escursione_griglia,configurazioni_entro_un_ciclo,quota_entro_un_ciclo
FD001,"SVR, kernel lineare",35,20.298220297318128,21.67013101393824,1.3719107166201105,34,0.9714285714285714
FD001,"SVR, kernel radiale",150,16.789387372403393,42.74970931091796,25.960321938514564,57,0.38
FD001,"SVR, kernel polinomiale",140,23.386799266178492,44.61095683493967,21.22415756876118,20,0.14285714285714285
FD001,Percettrone multistrato,175,16.243872364230683,91.61367884829988,75.3698064840692,111,0.6342857142857142
FD003,"SVR, kernel lineare",35,19.84594197184444,21.601459015694736,1.755517043850297,30,0.8571428571428571
FD003,"SVR, kernel radiale",150,14.77807068792167,44.07763796384988,29.29956727592821,49,0.32666666666666666
FD003,"SVR, kernel polinomiale",140,26.367372900489784,50.73153900526712,24.36416610477734,3,0.02142857142857143
FD003,Percettrone multistrato,175,14.112628685460995,94.07709000128284,79.96446131582185,115,0.6571428571428571
