sottoinsieme,kernel,righe_massime,secondi_a_righe_massime,esponente_empirico
FD001,linear,16435,4.567837332957424,1.828411119789234
FD001,rbf,16435,1.7832714590476826,1.8786558466083363
FD001,poly,16435,3.467566458042711,1.8849053775795546
FD003,linear,19303,6.881056124926545,1.930062617628773
FD003,rbf,19303,2.2609760420164093,1.8810137122633361
FD003,poly,19303,5.375462708994746,2.000829462950862
