subset,blocco,label,config,rmse_mean,rmse_std,mae_mean,r2_mean,n_configurations,n_fit
FD001,Metodi a margine e reti,Percettrone multistrato,"hidden_layer_sizes=(16,), learning_rate_init=0.001, max_iter=1000",16.58077738090125,1.3955022929293248,11.576622787907946,0.8404406501401102,175,15
FD001,Famiglia ad albero,Foresta casuale,"max_features=0.33, min_samples_leaf=5",16.594991086206722,1.461714726052238,11.5766766376877,0.8400616989405016,15,15
FD001,Famiglia ad albero,XGBoost,"learning_rate=0.05, max_depth=3, n_estimators=300",16.7011412302653,1.3612447451958138,11.612537320454916,0.8381710171699523,36,15
FD001,Famiglia ad albero,Gradient boosting,"learning_rate=0.05, max_depth=3, n_estimators=300",16.708522143352873,1.3658039806718254,11.623045690558769,0.838022005536488,36,15
FD001,Famiglia ad albero,Bagging di alberi,nessun iperparametro,16.894466678780198,1.4352071290546051,11.621097192161248,0.8343080254515196,1,15
FD001,Metodi a margine e reti,"SVR, kernel radiale","C=100, epsilon=8, gamma=0.015",16.960917655434557,1.4108012886289485,12.299140981290172,0.8330982342309164,150,15
FD001,Famiglia ad albero,AdaBoost,"max_depth=6, learning_rate=0.01, n_estimators=800",16.9663998213527,1.265215531828192,12.244618403876071,0.8331469387210688,100,15
FD001,Superamento della linearita',Modello additivo generalizzato,"lam=100, n_splines=20",17.462329226156385,1.2061915781068864,13.00104151513872,0.8234189024092257,45,15
FD001,Superamento della linearita',Regression spline,"degree=2, knots=uniform, n_knots=5",17.46799754536286,1.1858140431113977,13.050291484735869,0.8233327467401682,30,15
FD001,Superamento della linearita',Step functions,"n_bins=20, strategy=uniform",17.69189272386789,1.2043195525056984,13.189722165494045,0.8187736735226284,16,15
FD001,Superamento della linearita',Regressione polinomiale,degree=2,17.7518080339106,1.2810430151488077,13.814244314160105,0.8174119743992931,3,15
FD001,Famiglia ad albero,Albero di regressione potato,ccp_alpha=0.631,18.480329760564977,1.2678146850781482,12.783973039356152,0.8022038260698988,27,15
FD001,Metodi a margine e reti,"SVR, kernel lineare","C=0.01, epsilon=16",20.32026803269804,1.1151073566881924,16.563191972225173,0.7613071587852842,35,15
FD001,Modelli lineari,Ridge,alpha=1000,20.326974161087016,1.137096777203085,16.525027331997773,0.7611106290280305,41,15
FD001,Modelli lineari,Elastic Net,"alpha=0.08685, l1_ratio=0.05",20.32903388417386,1.1254295529714604,16.538851537829895,0.7610787489051279,450,15
FD001,Modelli lineari,Backward stepwise selection,k=17,20.34498991206653,1.1832488422931158,16.497886654947862,0.7606231482138237,18,15
FD001,Modelli lineari,Forward stepwise selection,k=17,20.34498991206653,1.1832488422931215,16.49788665494786,0.760623148213824,18,15
FD001,Modelli lineari,Best subset selection,k=17,20.34498991206653,1.1832488422931158,16.497886654947862,0.7606231482138237,262143,15
FD001,Modelli lineari,Lasso,alpha=0.02812,20.345049998924,1.1816125509291058,16.498638094703644,0.7606238692605526,50,15
FD001,Modelli lineari,Regressione lineare multipla,nessun iperparametro,20.34521944370695,1.183344430224618,16.497743035458054,0.7606176737573129,1,15
FD001,Modelli lineari,Regressione sulle componenti principali,n_components=6,20.35345029223353,1.1733087341853516,16.51885838707725,0.7604404432720687,18,15
