sottoinsieme,profondita,variabile,soglia_standardizzata,soglia_originale,quota_osservazioni,previsione_nodo
FD001,0,sensor_11,0.575974702835083,47.69500000177886,1.0,86.82928602588338
FD001,1,cycle,-0.19320547580718994,95.50000000678608,0.7425233871358635,104.36490632547816
FD001,1,cycle,0.06812114268541336,113.49999999563069,0.2574766128641365,36.25922439759036
FD001,2,cycle,-0.6432679891586304,64.49999976940266,0.4439435800494402,118.23834479746698
FD001,2,sensor_09,0.7069928348064423,9080.854999938543,0.29857980708642334,83.73717532467532
FD001,2,sensor_11,1.2499276995658875,47.87499999195544,0.22883040085308518,29.661724210972253
FD001,2,cycle,-0.3383869230747223,85.50000052617445,0.02864621201105133,88.9610829103215
FD001,3,cycle,-0.9626671671867371,42.50000132260982,0.30245746691871456,122.55496794871794
FD001,3,sensor_11,-0.24774567782878876,47.475000000076996,0.2515631816198924,89.48998073217726
FD001,3,sensor_11,-0.5847221910953522,47.38500000100889,0.1414861131307256,109.01062007536828
FD001,3,sensor_04,1.2756361365318298,1420.415000134716,0.12369734865008968,16.897335423197493
FD001,3,sensor_09,1.3874006867408752,9095.880000410978,0.10513305220299549,44.68003688335639
FD001,3,sensor_09,1.4797821640968323,9097.920000003827,0.047016625466530945,52.95670103092783
FD001,3,sensor_07,-0.6583780646324158,552.7850000063999,0.01618922979981581,71.16167664670658
FD001,3,cycle,-0.8029676079750061,53.499998493242515,0.012456982211235519,112.09338521400778
FD003,0,sensor_11,0.6308344304561615,47.604999999062585,1.0,93.14320388349515
FD003,1,sensor_09,0.3730846792459488,9071.564999978,0.7521035598705501,110.39845094664372
FD003,1,cycle,-0.2688770294189453,112.50000022534772,0.24789644012944984,40.79177545691906
FD003,2,cycle,-0.5723834931850433,82.50000212261179,0.6574838187702265,115.46606780286716
FD003,2,sensor_11,1.3973271250724792,47.83499999939191,0.21508899676375404,32.00601843144631
FD003,2,cycle,-0.3093445599079132,108.50000028192953,0.09461974110032362,75.18512184694313
FD003,2,cycle,-0.6128510534763336,78.49999923339271,0.03280744336569579,98.3921085080148
FD003,3,sensor_11,-0.13565826043486595,47.3749999998511,0.3502022653721683,108.95056024026799
FD003,3,cycle,-0.8151886761188507,58.5000024621027,0.30728155339805824,122.89165350184308
FD003,3,sensor_14,1.1598603129386902,8163.3450001725405,0.10800970873786407,47.12621722846442
FD003,3,sensor_11,1.863887906074524,47.975000002702885,0.10707928802588997,16.754438987533057
FD003,3,sensor_14,0.9077968895435333,8159.184999914278,0.08240291262135922,69.77859597447227
FD003,3,sensor_12,-0.6223404705524445,521.0249999179297,0.016423948220064724,81.07881773399015
FD003,3,cycle,-0.8354224860668182,56.49999807169225,0.016383495145631068,115.74814814814815
FD003,3,cycle,-0.6634354591369629,73.5000000405702,0.012216828478964402,111.6523178807947
