sottoinsieme,modello,quota_impurita_ciclo,permutazione_ciclo_cicli,variabili_per_90_percento,variabili_mai_usate,concordanza_ordinamenti
FD001,Albero di regressione potato,0.2321098323881505,16.244274481576806,2,5,0.979703833472251
FD001,Bagging di alberi,0.2094460594481288,12.41128577293378,7,0,0.9669762641898865
FD001,Foresta casuale,0.2385627805981632,7.871092868246885,9,0,0.9298245614035088
FD001,AdaBoost,0.2112017461535549,10.2874751935755,7,1,0.9752321981424149
FD001,Gradient boosting,0.200321686907662,10.110773930894826,6,1,0.9029927760577915
FD001,XGBoost,0.2014450815986771,10.318791313171388,6,1,0.915376676986584
FD003,Albero di regressione potato,0.1466623513626501,15.69873460323386,3,5,0.934420663759726
FD003,Bagging di alberi,0.1310027038813027,14.82389200530769,6,0,0.9456140350877192
FD003,Foresta casuale,0.0916959847285783,5.703211565307955,10,0,0.787719298245614
FD003,AdaBoost,0.1441028147584009,7.028846152428471,8,0,0.9421052631578948
FD003,Gradient boosting,0.148000241028045,10.998287448587414,6,0,0.8578947368421052
FD003,XGBoost,0.1469116731524964,10.937932128906253,6,0,0.9175438596491228
