sottoinsieme,modello,variabile_principale,importanza_principale_cicli,permutazione_ciclo_cicli,quota_prime_tre,variabili_sotto_un_decimo_di_ciclo
FD001,"SVR, kernel lineare",cycle,4.630844527188427,4.630844527188427,0.6068340029841827,3
FD001,"SVR, kernel radiale",cycle,5.879752729493616,5.879752729493616,0.6279131801482121,3
FD001,"SVR, kernel polinomiale",sensor_06,16.847749682409166,5.611831989863218,0.30116955883804525,2
FD001,Percettrone multistrato,cycle,10.437530675690317,10.437530675690317,0.7715031765666317,3
FD003,"SVR, kernel lineare",sensor_11,3.5103356955999745,0.5425648598054245,0.560568566489485,4
FD003,"SVR, kernel radiale",cycle,5.3433438766862675,5.3433438766862675,0.37049400180935654,2
FD003,"SVR, kernel polinomiale",sensor_12,4.548293551722762,-0.4248218650154644,0.4471430887482205,3
FD003,Percettrone multistrato,cycle,11.883146776801135,11.883146776801135,0.5767392139046993,2
