label,config,n_nonzero,rmse_mean,rmse_std,divario_in_dispersioni,mae_mean,r2_mean
Modello additivo generalizzato,"lam=100, n_splines=20",18.0,17.462329226156385,1.2061915781068864,0.0,13.00104151513872,0.8234189024092257
Regression spline,"degree=2, knots=uniform, n_knots=5",88.0,17.46799754536286,1.1858140431113977,0.0,13.050291484735869,0.8233327467401682
Step functions,"n_bins=20, strategy=uniform",324.0,17.69189272386789,1.2043195525056984,0.19,13.189722165494045,0.8187736735226284
Regressione polinomiale,degree=2,189.0,17.7518080339106,1.2810430151488077,0.23,13.814244314160105,0.8174119743992931
Regressione sul solo numero di ciclo,baseline,1.0,27.87823796074896,2.466999459821219,5.36,21.4877355600322,0.5485938927853348
Predizione costante,baseline,0.0,41.69369866169996,0.135296042154274,28.23,36.97767650695546,-0.0021040037904417
