label,config,n_nonzero,rmse_mean,rmse_std,divario_in_dispersioni,mae_mean,r2_mean
Regression spline,"degree=1, knots=uniform, n_knots=12",203.0,15.914276053764754,1.0974651246939109,0.0,12.048196036655968,0.8456965088922049
Modello additivo generalizzato,"lam=10, n_splines=20",19.0,15.945531144649989,1.0917546856303442,0.03,12.063941393592115,0.8451286781132403
Step functions,"n_bins=30, strategy=quantile",475.0,16.095433238118655,1.080293305738448,0.17,12.195273959890107,0.842209293224052
Regressione polinomiale,degree=2,209.0,16.43929677031008,1.0199972895779468,0.5,12.512680724218924,0.8353487871210626
Regressione sul solo numero di ciclo,baseline,1.0,35.116392875210266,2.6448117304438967,9.48,27.53391431944592,0.2436986988884737
Predizione costante,baseline,0.0,40.72951635327887,0.6507487992345734,27.51,35.548959995243266,-0.0070002087024855
