label,config,n_nonzero,rmse_mean,rmse_std,divario_in_dispersioni,mae_mean,r2_mean
Percettrone multistrato,"hidden_layer_sizes=(128, 64), learning_rate_init=0.0001, max_iter=250",,14.042110172887716,1.056928682431698,0.0,9.243837730304463,0.8798398543362335
"SVR, kernel radiale","C=10, epsilon=4, gamma=0.05",,14.675922928166866,1.36637585230459,0.52,9.43390361431369,0.8686307711746964
"SVR, kernel lineare","C=0.01, epsilon=8",19.0,19.826376866261008,1.5184211207915954,4.42,15.525044073971095,0.7602663198442094
"SVR, kernel polinomiale","C=0.1, epsilon=16, gamma=0.06",,26.33517002452136,2.6689653590488507,6.06,20.77643957552765,0.5741951074322229
Regressione sul solo numero di ciclo,baseline,1.0,35.116392875210266,2.6448117304438967,10.46,27.53391431944592,0.2436986988884737
Predizione costante,baseline,0.0,40.72951635327887,0.6507487992345734,30.41,35.548959995243266,-0.0070002087024855
