sottoinsieme,modello,configurazioni,rmse_minimo,rmse_massimo,escursione_griglia,configurazioni_entro_un_ciclo
FD001,Regressione polinomiale,3,17.62681891229017,20.33218193335054,2.7053630210603714,2
FD001,Step functions,16,17.52692392768998,21.60821900408159,4.0812950763916085,13
FD001,Regression spline,30,17.301299472490655,26.04656318890441,8.745263716413756,27
FD001,Modello additivo generalizzato,45,17.305215515194966,20.32950112539373,3.0242856101987634,37
FD003,Regressione polinomiale,3,16.317852804184604,20.053743454370935,3.735890650186331,2
FD003,Step functions,16,16.137421210540772,20.84639856543225,4.708977354891477,12
FD003,Regression spline,30,15.931232392519956,17.658065570853047,1.7268331783330915,28
FD003,Modello additivo generalizzato,45,15.951217027734408,20.048966319587255,4.097749291852846,33
