sottoinsieme,feature,edof,effect_range,p_value
FD001,sensor_14,4.13016882471299,59.25122664637046,1.1102230246251563e-16
FD001,sensor_09,6.547691601875406,43.59727734922823,1.1102230246251563e-16
FD001,cycle,9.581510337186783,29.434769838430597,1.1102230246251563e-16
FD001,sensor_13,5.59504076128643,21.321674032488826,1.1102230246251563e-16
FD001,sensor_08,6.7609414196867945,18.701378128956776,1.1102230246251563e-16
FD001,sensor_12,7.626569227131672,18.415148305477757,1.1102230246251563e-16
FD001,sensor_11,7.667953229920025,16.22532856169771,1.1102230246251563e-16
FD001,sensor_07,7.289008782977855,16.2239629831467,1.1102230246251563e-16
FD001,sensor_17,6.5456768707903725,9.307602379069785,7.701173032614861e-12
FD001,sensor_04,7.564065628991113,8.876625245066172,1.1102230246251563e-16
FD001,sensor_15,7.382398543775305,6.954019128027401,1.1102230246251563e-16
FD001,sensor_02,7.908508861637186,6.0810911928389295,4.884981308350689e-15
FD001,setting_1,7.24433048684307,6.065174173423088,0.3374485163807684
FD001,sensor_03,7.390471408130477,5.356045928362644,1.3783813601619954e-07
FD001,sensor_20,7.186671957372819,4.853821123482627,1.097576363129349e-09
FD001,sensor_21,7.506980470740008,4.6393277626020835,7.347666619583748e-08
FD001,setting_2,8.739912790659897,3.619958205121046,0.1235910534954687
FD001,sensor_06,1.043505987974101,0.5032590888177942,0.8445201709666706
FD003,sensor_14,7.557523214441934,66.8722541229842,1.1102230246251563e-16
FD003,sensor_09,10.110544335937892,63.548061925043626,1.1102230246251563e-16
FD003,sensor_06,9.07664417220678,47.567447716507985,1.1102230246251563e-16
FD003,sensor_13,7.969582602742349,36.52990140064276,1.1102230246251563e-16
FD003,sensor_08,10.482407956571045,32.24462087537068,1.1102230246251563e-16
FD003,cycle,13.932149775300497,32.09943567461194,1.1102230246251563e-16
FD003,sensor_11,12.075108757207898,23.4924891940758,1.1102230246251563e-16
FD003,sensor_15,11.481083319597897,15.761842466134627,1.1102230246251563e-16
FD003,sensor_04,11.618320060091287,14.937319518401956,1.1102230246251563e-16
FD003,sensor_03,11.380296483598077,12.83991420379957,1.1102230246251563e-16
FD003,sensor_12,10.047955858316346,11.108057933214695,7.411671276713605e-11
FD003,sensor_21,11.291724695908968,11.031061073907711,1.1102230246251563e-16
FD003,sensor_20,11.844363409022789,10.886814996871722,1.1102230246251563e-16
FD003,sensor_07,12.282144366714638,9.413800141177353,5.265894471584431e-07
FD003,setting_1,11.257536009657873,7.491479571228272,0.4136866234643648
FD003,setting_2,11.53137418528848,7.234511348070779,0.0931985941626467
FD003,sensor_17,9.832299571636426,7.011482981032211,1.1102230246251563e-16
FD003,sensor_02,10.778363018345871,6.003369123075806,1.0880185641326534e-14
FD003,sensor_10,2.956163209417675,4.363309014760969,0.923272792617429
