label,config,n_nonzero,rmse_mean,rmse_std,divario_in_dispersioni,mae_mean,r2_mean
Foresta casuale,"max_features=0.33, min_samples_leaf=5",18.0,16.594991086206722,1.461714726052238,0.0,11.5766766376877,0.8400616989405016
XGBoost,"learning_rate=0.05, max_depth=3, n_estimators=300",17.0,16.7011412302653,1.3612447451958138,0.08,11.612537320454916,0.8381710171699523
Gradient boosting,"learning_rate=0.05, max_depth=3, n_estimators=300",17.0,16.708522143352873,1.3658039806718254,0.08,11.623045690558769,0.838022005536488
Bagging di alberi,nessun iperparametro,18.0,16.894466678780198,1.4352071290546051,0.21,11.621097192161248,0.8343080254515196
AdaBoost,"max_depth=6, learning_rate=0.01, n_estimators=800",17.0,16.9663998213527,1.265215531828192,0.27,12.244618403876071,0.8331469387210688
Albero di regressione potato,ccp_alpha=0.631,13.0,18.480329760564977,1.2678146850781482,1.38,12.783973039356152,0.8022038260698988
Regressione sul solo numero di ciclo,baseline,1.0,27.87823796074896,2.466999459821219,5.56,21.4877355600322,0.5485938927853348
Predizione costante,baseline,0.0,41.69369866169996,0.135296042154274,24.18,36.97767650695546,-0.0021040037904417
