sottoinsieme,insieme,rmse_100,rmse_300,rmse_500,variazione_300_500
FD001,Bagging di alberi non potati,16.180322340836852,16.150311292866064,16.139910184466054,-0.010401108400010628
FD001,"Foresta, tutte le variabili candidate",16.202937778676922,16.15032368578735,16.142749852836374,-0.0075738329509746904
FD001,"Foresta, un terzo delle variabili candidate",16.02093047393674,15.938965012823534,15.933814956699996,-0.005150056123538249
FD003,Bagging di alberi non potati,17.11478141446903,17.050298513342476,17.05457469572485,0.00427618238237315
FD003,"Foresta, tutte le variabili candidate",17.09625775276494,17.044750361662423,17.056823900526283,0.012073538863859312
FD003,"Foresta, un terzo delle variabili candidate",17.304995454905377,17.255298865838228,17.23087540634451,-0.02442345949371827
